chunk,threads,setsize,time
10,2,4,0.001000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.001000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,4,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.001000
10,2,8,0.000000
10,2,8,0.000000
10,2,8,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.001000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.000000
10,2,12,0.001000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.001000
10,2,16,0.000000
10,2,16,0.002000
10,2,16,0.001000
